"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","0","testcases","test_login","TestLogin","","","test_case_backstage_login[case0]",""
"skipped","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","0","testcases","test_login","TestLogin","","","test_case_login[case1]",""
"skipped","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","0","testcases","test_login","TestLogin","","","test_case_login[case0]",""
"passed","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","350","testcases","test_parametrize","TestCmodule","","","兼职列表",""
"passed","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","129","testcases","test_parametrize","TestBmodule","","","推荐列表（全部）",""
"skipped","Sat Jul 27 15:34:12 CST 2024","Sat Jul 27 15:34:12 CST 2024","0","testcases","test_login","TestLogin","","","test_case_backstage_login[case1]",""
